user_id,name,age,gender,city,signup_date,purchase_amount,membership,active
861,Arjun,,F,Pune,2020-07-15,300,Gold ,False
1295,Sneha,,,Delhi ,invalid_date,100,,
1131,Arjun,21,F,,10-02-2022,,gold,False
1096,,150,m,,2019-03-20,1200,,False
1639,Kunal,20,FEMALE,,10-02-2022,500,Gold,True
2170,,,M,,2022-01-10,1200,silver,True
467,Pooja,21,FEMALE,Delhi,invalid_date,300,Bronze,True
1239,Aman,19,m,Mumbai,2021/12/05,800,silver,True
331,,22,m,Bangalore,10-02-2022,800,Gold,
1483,,19,,Delhi,,800,silver,
2136,Aman,23,m,Bangalore,invalid_date,0,silver,True
131,kunal ,18,F,,2022-01-10,1200,Bronze,True
1686,Pooja,23,,Bangalore,invalid_date,,Gold,True
770,Riya,21,FEMALE,Pune,2021/12/05,500,silver,True
2392,Arjun,20,FEMALE,Pune,2019-03-20,-50,Gold ,False
1516,Sneha,19,M,Mumbai,2019-03-20,-50,,True
2434,,150,m,Mumbai,,500,silver,False
1216,,,m,Bangalore,2019-03-20,-50,Silver,True
956,Aman,20,Male,Delhi,2020-07-15,0,silver,
2325,Arjun,23,,Delhi,2020-07-15,100,Bronze,
1185,Kunal,,Male,,2020-07-15,0,Silver,True
460,Aman,19,,Delhi,,500,Gold ,
22,Kunal,150,F,Mumbai,2020-07-15,500,,
2301,Pooja,22,,Delhi,2022-01-10,,Gold ,
748,,22,FEMALE,,,,Gold ,
475,,150,M,Pune,invalid_date,100,Gold,False
1083,Sneha,,,Delhi,2022-01-10,1200,Gold ,False
2048,Kunal,21,,Delhi,2019-03-20,1200,gold,False
976,Arjun,,,Mumbai,2021/12/05,300,Bronze,False
1807,kunal ,,M,Bangalore,2020-07-15,,Gold,True
190,Pooja,21,m,Pune,invalid_date,1200,Silver,
563,kunal ,20,M,Bangalore,2021/12/05,800,gold,
1900,Pooja,19,m,,,,Gold,True
1268,Riya,,FEMALE,,,,Bronze,True
1529,Arjun,19,M,Bangalore,2022-01-10,800,Silver,False
647,kunal ,23,m,Mumbai,2020-07-15,,Bronze,False
2069,,22,FEMALE,Delhi ,,,Bronze,
2215,,22,FEMALE,Mumbai,2022-01-10,300,Silver,True
1298,Aman,21,m,Delhi ,2022-01-10,500,Gold ,
2436,Sneha,23,m,Delhi ,10-02-2022,,silver,True
601,,22,F,Mumbai,invalid_date,300,Bronze,False
2364,,21,FEMALE,Delhi ,2022-01-10,100,Gold ,
2062,Pooja,,m,Delhi ,2019-03-20,300,,
242,,23,FEMALE,Delhi ,,300,Silver,True
2042,Pooja,20,M,Pune,2022-01-10,0,Bronze,
1364,Aman ,23,Male,,2020-07-15,800,silver,False
2140,Kunal,18,Male,Delhi ,,100,,
1391,Sneha,22,,,,0,Silver,True
1479,Kunal,23,m,,2019-03-20,100,Gold,
776,Aman,,m,Pune,2022-01-10,300,Gold,False
35,Aman ,,FEMALE,,2019-03-20,,Gold ,True
2254,Arjun,20,,Bangalore,2022-01-10,0,Gold,True
1956,Aman,19,m,Delhi,invalid_date,0,gold,False
1586,Aman,21,FEMALE,Pune,2019-03-20,100,Bronze,True
1022,Riya,,m,Delhi,2021/12/05,100,Bronze,True
1130,Sneha,,FEMALE,Bangalore,10-02-2022,1200,Silver,
1501,Pooja,20,m,Mumbai,2019-03-20,-50,gold,True
703,,21,F,Mumbai,2020-07-15,100,Bronze,
2450,Kunal,20,FEMALE,Delhi ,10-02-2022,0,Silver,False
1580,Aman,19,F,Mumbai,10-02-2022,500,silver,False
162,Kunal,21,F,Pune,2022-01-10,100,Bronze,False
202,Kunal,23,F,Mumbai,2019-03-20,800,Gold ,False
